content,source,link
"Check the source of a story—reputable news outlets like BBC or Reuters are less likely to spread misinformation than unknown blogs.","UNESCO, 'Journalism, Fake News & Disinformation' (2018)","https://unesdoc.unesco.org/ark:/48223/pf0000265552"
"Look for unnatural facial movements in videos, like awkward blinking or lip-sync issues, which are common signs of deepfakes.","MIT Technology Review, 'How to Spot a Deepfake' (2020)","https://www.technologyreview.com/2020/02/14/844693/how-to-spot-a-deepfake/"
"If a headline seems too outrageous to be true, it probably is—cross-check it with multiple sources.","Snopes, 'How to Spot Fake News' (2021)","https://www.snopes.com/collections/how-to-spot-fake-news/"
"Listen for robotic tones or unnatural pauses in audio, which can indicate an audio deepfake.","Wired, 'The Rise of Audio Deepfakes' (2022)","https://www.wired.com/story/audio-deepfakes/"
"Use reverse image search tools like Google Images or TinEye to verify if a photo has been manipulated or reused.","PolitiFact, 'How to Fact-Check Images' (2020)","https://www.politifact.com/article/2020/jan/23/how-fact-check-images-online/"
"Be wary of social media posts with no verifiable author or origin—these often spread misinformation.","Vosoughi et al., 'The Spread of True and False News Online,' Science (2018)","https://www.science.org/doi/10.1126/science.aap9559"
"Check for inconsistencies in lighting or shadows in videos, as deepfakes often struggle to match these perfectly.","Nature, 'AI Can Now Detect Deepfakes' (2023)","https://www.nature.com/articles/d41586-023-01735-5"
"Fact-check claims using sites like PolitiFact or FactCheck.org, especially if they stir strong emotions.","FactCheck.org, 'How to Spot Misinformation' (2021)","https://www.factcheck.org/how-to-spot-misinformation/"
"Examine the URL of a website—fake news sites often mimic real ones with slight misspellings (e.g., 'cnnnews.com' vs. 'cnn.com').","Stanford History Education Group, 'Evaluating Information' (2016)","https://sheg.stanford.edu/civic-online-reasoning/evaluating-information"
"Look at the date of an article—old stories can be repurposed to mislead in a new context.","BBC, 'How to Avoid Misinformation Online' (2022)","https://www.bbc.com/news/technology-59236537"
"Deepfakes may show blurry edges around faces or unnatural head movements—zoom in to spot these flaws.","The Verge, 'How to Identify Deepfakes' (2021)","https://www.theverge.com/2021/6/29/22554245/how-to-identify-deepfakes-ai-videos-photos"
"If a video’s audio doesn’t match the speaker’s lip movements perfectly, it could be a deepfake.","Sensity AI, 'The State of Deepfakes' (2021)","https://sensity.ai/reports/"
"Beware of stories that push a single narrative without evidence—these are often disinformation tactics.","Oxford Internet Institute, 'The Global Disinformation Order' (2019)","https://demtech.oii.ox.ac.uk/wp-content/uploads/sites/93/2019/09/Global-Disinformation-Order-2019.pdf"
"Verify statistics or data by finding the original study or report, not just a summary.","Reuters, 'Fact-Checking Tips for Readers' (2020)","https://www.reuters.com/fact-check"
"Check for pixel-level glitches in videos, like sudden jumps or distortions, which can reveal deepfake edits.","IEEE Spectrum, 'Detecting Deepfakes with AI' (2022)","https://spectrum.ieee.org/deepfake-detection"
"Question emotional appeals—misinformation often uses fear or anger to hook you without facts.","American Psychological Association, 'The Psychology of Misinformation' (2021)","https://www.apa.org/topics/misinformation-disinformation"
"Look for typos or poor grammar in articles—legitimate sources usually have better editing.","Full Fact, 'Spotting Fake News' (2020)","https://fullfact.org/toolkit/spotting-fake-news/"
"In deepfakes, background elements might not move naturally with the subject—watch for static or mismatched scenery.","Forbes, 'Deepfake Detection Guide' (2023)","https://www.forbes.com/sites/forbestechcouncil/2023/05/15/a-guide-to-detecting-deepfakes/"
"Use browser extensions like NewsGuard to flag unreliable websites in real-time.","NewsGuard, 'About Us' (2023)","https://www.newsguardtech.com/about/"
"Ask who benefits from the story—if it’s unclear or suspicious, it might be misinformation.","Critical Media Literacy, 'Teaching Guide' (2019)","https://criticalmedialiteracy.org/resources/"